"Id","SalePrice"
1461,123855.893062808
1462,147341.130967404
1463,182076.386158973
1464,193723.9633984
1465,192488.99728983
1466,172575.909625042
1467,173905.468893472
1468,164092.973160753
1469,190671.811020334
1470,114670.723264698
1471,197663.759824665
1472,96655.3794300047
1473,95946.6307521271
1474,143349.510346681
1475,105724.855292302
1476,346881.867246778
1477,237121.271979085
1478,291602.64072301
1479,287726.390743671
1480,429669.278624204
1481,300806.163176254
1482,211014.861233788
1483,180404.146152813
1484,160945.892450557
1485,196787.176773237
1486,193058.259877869
1487,314025.54598685
1488,230366.649017065
1489,183835.851787885
1490,234198.941550065
1491,191583.292874171
1492,94826.6906346972
1493,191397.518402412
1494,281374.12389916
1495,276413.452239753
1496,225981.883622473
1497,164265.149614889
1498,161064.868727234
1499,159789.911352409
1500,148849.830067785
1501,161329.107464839
1502,148429.710812802
1503,270016.975577171
1504,239815.622986612
1505,212826.134203554
1506,191209.711003818
1507,239859.624240545
1508,209382.017056248
1509,157929.386372484
1510,137108.393787539
1511,148981.869799819
1512,176326.435630722
1513,146961.255019722
1514,145532.863480191
1515,196443.112920923
1516,154908.227207871
1517,157738.132783595
1518,137471.839847482
1519,206192.576428985
1520,126453.17312427
1521,126776.353869995
1522,185720.484992802
1523,100537.062239706
1524,122642.870774984
1525,114037.879776665
1526,105901.486742686
1527,104392.917478195
1528,138564.001177241
1529,142459.420257099
1530,177644.37122457
1531,110482.37543816
1532,103595.376854484
1533,150286.576072137
1534,131521.501726409
1535,152542.403295689
1536,116304.649443788
1537,62204.7794914845
1538,143595.654072807
1539,212325.847282048
1540,89117.3781204649
1541,144778.455851971
1542,138984.702807289
1543,166282.610455863
1544,89089.1463972006
1545,105585.51476055
1546,139653.10308436
1547,138697.356379477
1548,124799.947278827
1549,108293.766109745
1550,132128.886959226
1551,120546.799624948
1552,130545.767512174
1553,144546.542283856
1554,111168.118483778
1555,164991.00913604
1556,80703.2950863183
1557,98115.7992019987
1558,100160.444040274
1559,81588.042280382
1560,133422.974282002
1561,122516.161009441
1562,129966.517234427
1563,114596.607131014
1564,161807.002848468
1565,143474.495009896
1566,230200.186657229
1567,80533.1077343841
1568,228733.124182967
1569,134688.317193745
1570,142604.842155661
1571,119588.944070544
1572,136606.361230213
1573,223723.912761327
1574,111410.370001343
1575,212214.9733784
1576,249479.950364659
1577,182289.438320696
1578,142909.429533593
1579,133878.142055586
1580,194866.305696969
1581,155584.033472386
1582,119750.56640633
1583,292678.313698784
1584,208238.77274018
1585,142725.5049949
1586,61889.3524603763
1587,103246.68673622
1588,140887.043455228
