"Id","SalePrice"
1461,122381.836137432
1462,152973.281840079
1463,183064.272723161
1464,193699.802247747
1465,197159.279179842
1466,173879.761704733
1467,178224.554149642
1468,164310.052288953
1469,199504.582450435
1470,114069.818015283
1471,198681.13328105
1472,98905.8249804809
1473,97434.8370803309
1474,148014.395249037
1475,111716.169438914
1476,345101.351453636
1477,239023.58077918
1478,303327.71532235
1479,290843.856467597
1480,425000.435413149
1481,306518.008020472
1482,214230.721386347
1483,181427.646844728
1484,163613.143185051
1485,198924.608303863
1486,196290.206899334
1487,311387.632927737
1488,239931.108427818
1489,184550.873746837
1490,225359.09974119
1491,193664.425652658
1492,94834.4833829748
1493,183384.829977396
1494,283353.46267725
1495,285366.299147226
1496,220276.751763429
1497,175509.367332038
1498,162071.433375803
1499,161477.432319324
1500,150612.452763808
1501,163183.143818708
1502,148830.320980255
1503,271110.651542838
1504,240948.960273487
1505,213950.447275279
1506,194147.992753945
1507,241496.455898059
1508,206071.168583527
1509,163179.732318903
1510,139883.793556252
1511,147224.452556156
1512,176709.741145277
1513,150709.514052748
1514,147188.180656409
1515,204790.54364141
1516,161806.707917981
1517,167809.61508809
1518,138816.854586385
1519,213974.430147283
1520,124918.440683124
1521,130402.017337879
1522,186415.374350189
1523,105598.10775143
1524,128782.895574745
1525,118054.262029399
1526,110695.942697973
1527,104654.382538941
1528,145546.239256477
1529,138260.856066447
1530,177601.182610526
1531,105393.931958674
1532,102116.434234887
1533,150966.801512367
1534,134216.495774729
1535,161369.402360461
1536,117915.973367751
1537,63543.5178032055
1538,149259.261621474
1539,216809.452504521
1540,97100.9855888003
1541,150569.195093891
1542,140990.19351415
1543,177146.478846224
1544,88501.3155168912
1545,114424.64537441
1546,138832.652269403
1547,133774.253117797
1548,133273.523817777
1549,114388.404238446
1550,132532.547987485
1551,124163.360114355
1552,128184.194659951
1553,145913.791644005
1554,115665.527120668
1555,165172.966988593
1556,85640.6965178361
1557,102124.902325835
1558,102509.280423771
1559,81248.1359042932
1560,138822.610313181
1561,123185.816216644
1562,127878.840913486
1563,115143.582648385
1564,163588.090300504
1565,147213.431237585
1566,237339.12639458
